"spp","dbh","ba","volume","x","y"
316,36,0.0706858347057703,0,23.09,669.39
316,38,0.0787579824962441,0,26.69,650.42
316,36,0.0706858347057703,0,25.87,651.94
541,42,0.0962112750161874,0,17.95,658.93
541,45,0.110446616727766,0,12.7,685.05
316,37,0.0746673670618824,0,8.27,656.08
541,39,0.0829576810088555,0,4.77,646.86
316,47,0.120482259926734,0,7.37,662.72
316,37,0.0746673670618824,0,4.2,672.26
541,30,0.0490873852123405,0,2.79,683.01
541,34,0.0630500192282951,0,1.55,683.51
541,46,0.115409896788125,0,59.45,37.97
541,46,0.115409896788125,0,63.57,48.84
975,59,0.189859097693508,2.15,51.25,48.19
541,32,0.0558505360638185,0,54.51,59.21
541,34,0.0630500192282951,0,55.39,64.99
541,35,0.0668133854279079,0,63.61,61.24
316,42,0.0962112750161874,0,61.36,74.1
316,35,0.0668133854279079,0,68.94,64.89
541,52,0.147480321793521,1.81,56.83,109.03
541,34,0.0630500192282951,0,58.58,105.66
975,58,0.183477737615904,2.5,73.08,63.24
316,30,0.0490873852123405,0,66.14,97.67
316,35,0.0668133854279079,0,65.84,103.46
316,35,0.0668133854279079,0,73.96,88.91
541,33,0.059395736106932,0,74,102.43
316,36,0.0706858347057703,0,75.41,96.43
316,36,0.0706858347057703,0,83.75,103.84
316,43,0.100847305841797,0,91.69,100.95
541,30,0.0490873852123405,0,97.17,109.5
316,38,0.0787579824962441,0,79.35,63.04
975,34,0.0630500192282951,0,95.43,72.28
541,36,0.0706858347057703,0,88.83,63.69
541,40,0.0872664625997165,0,84.87,60.36
541,31,0.0524144190989547,0,96.29,63.47
541,39,0.0829576810088555,0,94.01,61.22
541,34,0.0630500192282951,0,97.85,44.74
975,36,0.0706858347057703,0,92.82,45.79
541,35,0.0668133854279079,0,85.31,47.49
541,34,0.0630500192282951,0,89.43,34.95
541,43,0.100847305841797,0,88.67,24.19
541,30,0.0490873852123405,0,82.89,38.12
541,41,0.0916843272688271,0,75.2,38.19
541,32,0.0558505360638185,0,68.04,27.9
316,36,0.0706858347057703,0,72.87,48.86
316,35,0.0668133854279079,0,69.65,156.21
316,31,0.0524144190989547,0,56.65,145.31
541,42,0.0962112750161874,0,56.4,155.36
541,54,0.159043128087983,3.07,61.11,162.86
541,52,0.147480321793521,1.27,60.51,164.34
541,30,0.0490873852123405,0,66.85,167.38
541,36,0.0706858347057703,0,72.16,169.33
541,39,0.0829576810088555,0,63.04,200.59
541,41,0.0916843272688271,0,56.79,222.02
541,33,0.059395736106932,0,59.69,214.03
316,42,0.0962112750161874,0,70.45,198.13
316,31,0.0524144190989547,0,70.79,197.61
541,40,0.0872664625997165,0,73.9,188.19
541,30,0.0490873852123405,0,76.58,192.77
316,45,0.110446616727766,0,82.4,210.75
541,43,0.100847305841797,0,83.51,205.52
541,38,0.0787579824962441,0,79.44,180.92
541,34,0.0630500192282951,0,88.23,204.06
316,31,0.0524144190989547,0,85.6,193.2
541,40,0.0872664625997165,0,93.48,208.31
541,49,0.1309542354387,0,96.94,207.79
316,40,0.0872664625997165,0,85.77,178.01
541,72,0.282743338823081,6.78,94.68,171.19
541,50,0.136353847812057,1.6,85.8,164.23
316,46,0.115409896788125,0,89.8,162.15
541,40,0.0872664625997165,0,79.64,159.58
541,55,0.164988155852589,2.47,99.3,142.44
